variant,window,sharpe,pct_pos,avg_monthly,geom_monthly,ann_vol,max_dd
"xasset trend, equal risk per ticker",2010_2016,0.5007689515066267,0.5952380952380952,0.0016339903527594426,0.0015848266842855008,0.03950760486095738,-0.04669609007813702
"xasset trend, equal risk per ticker",2017_plus,0.24760391675985527,0.5470085470085471,0.0010872546455026808,0.0007264702687068691,0.038128208901287326,-0.13974980587730623
"xasset trend, equal risk per class",2010_2016,0.1688975096743463,0.5595238095238095,0.0009359560150669804,0.0007760821603202128,0.06937954597991444,-0.16999740582084422
"xasset trend, equal risk per class",2017_plus,0.08032880289082388,0.5299145299145299,0.0004931047304717886,0.0002501071674523292,0.05898794860645665,-0.1571024540582142
"xasset trend, fast 21/63/126",2010_2016,-0.14513301421868638,0.4642857142857143,-0.0009074475507336654,-0.0010660676526960122,0.07087432145476691,-0.13870894181223548
"xasset trend, fast 21/63/126",2017_plus,-0.06534648096254951,0.46153846153846156,-0.0005037043958569023,-0.00045095553868512717,0.057546011351628255,-0.20272180195701628
"xasset trend, slow 126/252",2010_2016,0.10725292101299902,0.5714285714285714,0.0006273291826804837,0.000425464779068907,0.07134670137709966,-0.2291027106569009
"xasset trend, slow 126/252",2017_plus,0.09222096565246084,0.5470085470085471,0.0006097002237339031,0.00032046666466412077,0.06366978954034282,-0.18561361350024885
"xasset risk parity, long only",2010_2016,0.5747068642205808,0.5357142857142857,0.004169880551848818,0.0038938368426812975,0.08787735127701615,-0.13239250269505454
"xasset risk parity, long only",2017_plus,0.8531389972947591,0.6324786324786325,0.007078842993777958,0.004833212289107491,0.07076289876512491,-0.16705233369242511
[vol] SHY (rates),full,,,,,0.012317659582103674,
[vol] TIP (rates),full,,,,,0.05212544607025264,
[vol] IEF (rates),full,,,,,0.060882896910672266,
[vol] UUP (fx),full,,,,,0.06883647033475902,
[vol] LQD (credit),full,,,,,0.06926013629258641,
[vol] FXE (fx),full,,,,,0.07757209640171868,
[vol] HYG (credit),full,,,,,0.08252643759676007,
[vol] FXY (fx),full,,,,,0.08720484390135351,
[vol] XLP (sector),full,,,,,0.12621644487266048,
[vol] DBA (commod),full,,,,,0.12826810051921392,
[vol] TLT (rates),full,,,,,0.13633043934221747,
[vol] XLV (sector),full,,,,,0.14806098837263185,
[vol] GLD (metals),full,,,,,0.15328369191015326,
[vol] XLU (sector),full,,,,,0.15861981439512043,
[vol] DBC (commod),full,,,,,0.16301203560125174,
[vol] EWJ (eq_intl),full,,,,,0.16704112543148864,
[vol] EFA (eq_intl),full,,,,,0.1742850020130724,
[vol] XLI (sector),full,,,,,0.18349821262462973,
[vol] QQQ (eq_us),full,,,,,0.18874531370738215,
[vol] XLY (sector),full,,,,,0.18990821316137943,
[vol] VGK (eq_intl),full,,,,,0.19489055191024054,
[vol] XLB (sector),full,,,,,0.19533662091401496,
[vol] XLK (sector),full,,,,,0.20065184847492504,
[vol] EEM (eq_intl),full,,,,,0.2072628731972408,
[vol] IWM (eq_us),full,,,,,0.20777084431169002,
[vol] VNQ (reits),full,,,,,0.2248092107331384,
[vol] XLF (sector),full,,,,,0.2353294568443824,
[vol] XLE (sector),full,,,,,0.24886871317828385,
[vol] SLV (metals),full,,,,,0.2868304982551882,
[vol] USO (commod),full,,,,,0.3337317691578671,
