eq,cry,deff,wd,ann,pos,ann_is,pos_is,ann_oos,pos_oos
0.64,0.26,0.1,0.0,0.11237646635985656,0.7350427350427351,0.14463527302801643,0.7361111111111112,0.18395939919899373,0.7333333333333333
0.61,0.24,0.1,0.05,0.11643548429898562,0.7350427350427351,0.15228448649340243,0.7361111111111112,0.1878737042451224,0.7333333333333333
0.58,0.23,0.09,0.09,0.12362096583103506,0.7094017094017094,0.1677199377456886,0.7361111111111112,0.19002537998964208,0.6666666666666666
0.61,0.24,0.15,0.0,0.10837575363192913,0.7350427350427351,0.13709129000672568,0.7222222222222222,0.18134087874030605,0.7555555555555555
0.58,0.23,0.14,0.05,0.11362380306249334,0.7435897435897436,0.1474832497347206,0.7361111111111112,0.18500200353768614,0.7555555555555555
0.56,0.22,0.13,0.09,0.11912451451340257,0.7350427350427351,0.15852171794649397,0.7361111111111112,0.18809996818623737,0.7333333333333333
0.58,0.23,0.19,0.0,0.10456053282170504,0.7435897435897436,0.1301472105220133,0.7222222222222222,0.1785782691318267,0.7777777777777778
0.56,0.22,0.18,0.04,0.11131433372102968,0.7435897435897436,0.14369110461732906,0.7361111111111112,0.18211742824965135,0.7555555555555555
0.53,0.21,0.17,0.09,0.11474985011218564,0.7521367521367521,0.15024556152718807,0.75,0.18529969773482774,0.7555555555555555
0.6,0.3,0.1,0.0,0.11399895820113021,0.7350427350427351,0.14693096151576943,0.75,0.18685541030555297,0.7111111111111111
0.57,0.29,0.09,0.05,0.11887711304087763,0.7264957264957265,0.1570095380566108,0.75,0.18980351613199664,0.6888888888888889
0.55,0.27,0.09,0.09,0.1243429813224101,0.717948717948718,0.16799738814371867,0.7361111111111112,0.19334120948606875,0.6888888888888889
0.57,0.29,0.14,0.0,0.11280910829021984,0.7435897435897436,0.1447702631888587,0.7361111111111112,0.18582106123329786,0.7555555555555555
0.55,0.27,0.13,0.04,0.11738746442338134,0.7521367521367521,0.15398835310078815,0.75,0.18886806349465474,0.7555555555555555
0.53,0.26,0.13,0.08,0.12061679398169162,0.7264957264957265,0.16026551012085025,0.7361111111111112,0.1918172999926256,0.7111111111111111
0.55,0.27,0.18,0.0,0.10903640394981857,0.7435897435897436,0.13716174909924259,0.7361111111111112,0.18420648591148436,0.7555555555555555
0.53,0.26,0.17,0.04,0.1134565855260359,0.7521367521367521,0.14690673985322975,0.75,0.18576007385556983,0.7555555555555555
0.51,0.25,0.16,0.08,0.1167163344411054,0.7435897435897436,0.15276828608835424,0.7361111111111112,0.18935467312603022,0.7555555555555555
0.57,0.34,0.09,0.0,0.11868068688091753,0.7435897435897436,0.15324509595444766,0.75,0.19470185581017962,0.7333333333333333
0.54,0.33,0.09,0.04,0.12145058537066694,0.7350427350427351,0.1614612831751136,0.75,0.19277192376729574,0.7111111111111111
0.52,0.31,0.08,0.08,0.12706972103432312,0.7264957264957265,0.17216568797441084,0.75,0.19723343847829172,0.6888888888888889
0.54,0.33,0.13,0.0,0.1160786018796899,0.7435897435897436,0.1508154918773708,0.75,0.1886333507945106,0.7333333333333333
0.52,0.31,0.12,0.04,0.12053982493410065,0.7435897435897436,0.16029541258046495,0.75,0.19093136474619954,0.7333333333333333
0.5,0.3,0.12,0.08,0.12373301870806867,0.7435897435897436,0.16654233016514006,0.75,0.1938242020574347,0.7333333333333333
0.52,0.31,0.17,0.0,0.1124500005849166,0.7435897435897436,0.14368241550605143,0.7361111111111112,0.1867623896542898,0.7555555555555555
0.5,0.3,0.16,0.04,0.11670315403567451,0.7435897435897436,0.15288699714156706,0.75,0.18862138810397033,0.7333333333333333
0.48,0.29,0.15,0.08,0.12004542933951022,0.7350427350427351,0.15961095985229987,0.7361111111111112,0.19117011716526172,0.7333333333333333
0.54,0.38,0.09,0.0,0.12138456095301371,0.7008547008547008,0.15800989488438308,0.7083333333333334,0.19773704043186974,0.6888888888888889
0.52,0.36,0.08,0.04,0.12615793102236475,0.7094017094017094,0.16681339153831728,0.7222222222222222,0.20238819482841403,0.6888888888888889
0.5,0.35,0.08,0.08,0.1307374090201619,0.7094017094017094,0.17663653508342994,0.7361111111111112,0.20438169688494745,0.6666666666666666
0.52,0.36,0.12,0.0,0.11963078432322137,0.7008547008547008,0.15560763203778874,0.6944444444444444,0.19484188819540582,0.7111111111111111
0.5,0.35,0.12,0.04,0.12366257660674644,0.7264957264957265,0.16609206982218253,0.7361111111111112,0.19369441982305524,0.7111111111111111
0.48,0.33,0.11,0.08,0.12678747112134045,0.717948717948718,0.17218299860569472,0.7222222222222222,0.1965702515748037,0.7111111111111111
0.5,0.35,0.16,0.0,0.11499332907343464,0.7008547008547008,0.14858513743471072,0.6944444444444444,0.18882663641888608,0.7111111111111111
0.48,0.33,0.15,0.04,0.1200479771526041,0.7350427350427351,0.15911404182560843,0.75,0.1914565308179309,0.7111111111111111
0.46,0.32,0.15,0.07,0.1230422244988501,0.7264957264957265,0.16508134730708415,0.7361111111111112,0.19394952205263927,0.7111111111111111
0.66,0.24,0.1,0.0,0.11200550081565501,0.7350427350427351,0.14449282399166682,0.7361111111111112,0.18260701806977342,0.7333333333333333
0.63,0.23,0.09,0.05,0.11979336854821174,0.7264957264957265,0.1601267797850299,0.7361111111111112,0.1861779306840575,0.7111111111111111
0.6,0.22,0.09,0.09,0.1219550471390027,0.717948717948718,0.16389477271257477,0.7361111111111112,0.1893575463339725,0.6888888888888889
0.63,0.23,0.14,0.0,0.10943720603128636,0.7264957264957265,0.13967350035785053,0.7222222222222222,0.18083553405890612,0.7333333333333333
0.6,0.22,0.13,0.04,0.11492251220299182,0.7435897435897436,0.15034147359698902,0.7361111111111112,0.1844315310396298,0.7555555555555555
0.58,0.21,0.13,0.08,0.11870627023209947,0.7350427350427351,0.15774072162055397,0.7361111111111112,0.1875051959950509,0.7333333333333333
0.6,0.22,0.18,0.0,0.1070410284573194,0.7435897435897436,0.13557844546523518,0.7222222222222222,0.1781784504881388,0.7777777777777778
0.58,0.21,0.17,0.04,0.11056618824843831,0.7435897435897436,0.1421888244459217,0.7361111111111112,0.18152394056592475,0.7555555555555555
0.56,0.2,0.16,0.08,0.11440433794315095,0.7435897435897436,0.14968636947874372,0.7361111111111112,0.18459436329843057,0.7555555555555555
0.62,0.28,0.09,0.0,0.11317931659871615,0.7435897435897436,0.14600911249420084,0.75,0.1850791744576355,0.7333333333333333
0.6,0.27,0.09,0.04,0.1180427892357957,0.717948717948718,0.15560688329602912,0.7361111111111112,0.1886525881057321,0.6888888888888889
