off_w,btc,def,avg,pos,is_pos,oos_pos
0.0,0.2,0.08,0.00936,0.667,0.667,0.667
0.0,0.2,0.12,0.00928,0.684,0.667,0.711
0.0,0.2,0.15,0.00922,0.692,0.653,0.756
0.0,0.2,0.18,0.00924,0.692,0.653,0.756
0.0,0.25,0.08,0.0095,0.675,0.681,0.667
0.0,0.25,0.12,0.00924,0.684,0.681,0.689
0.0,0.25,0.15,0.00931,0.667,0.639,0.711
0.0,0.25,0.18,0.00936,0.675,0.625,0.756
0.0,0.3,0.08,0.00997,0.684,0.694,0.667
0.0,0.3,0.12,0.00994,0.684,0.681,0.689
0.0,0.3,0.15,0.00999,0.667,0.653,0.689
0.0,0.3,0.18,0.0101,0.684,0.653,0.733
0.0,0.35,0.08,0.01057,0.675,0.694,0.644
0.0,0.35,0.12,0.01067,0.667,0.653,0.689
0.0,0.35,0.15,0.01065,0.65,0.639,0.667
0.0,0.35,0.18,0.01092,0.641,0.625,0.667
0.05,0.2,0.08,0.01337,0.735,0.75,0.711
0.05,0.2,0.12,0.01291,0.744,0.75,0.733
0.05,0.2,0.15,0.01263,0.735,0.736,0.733
0.05,0.2,0.18,0.01231,0.752,0.736,0.778
0.05,0.25,0.08,0.01337,0.735,0.75,0.711
0.05,0.25,0.12,0.01316,0.744,0.75,0.733
0.05,0.25,0.15,0.01272,0.744,0.736,0.756
0.05,0.25,0.18,0.0125,0.752,0.736,0.778
0.05,0.3,0.08,0.01355,0.735,0.764,0.689
0.05,0.3,0.12,0.01343,0.761,0.764,0.756
0.05,0.3,0.15,0.01341,0.752,0.75,0.756
0.05,0.3,0.18,0.01313,0.744,0.736,0.756
0.05,0.35,0.08,0.01428,0.735,0.75,0.711
0.05,0.35,0.12,0.01405,0.709,0.708,0.711
0.05,0.35,0.15,0.01387,0.701,0.694,0.711
0.05,0.35,0.18,0.01362,0.684,0.667,0.711
0.1,0.2,0.08,0.01326,0.735,0.75,0.711
0.1,0.2,0.12,0.01279,0.744,0.75,0.733
0.1,0.2,0.15,0.01252,0.735,0.736,0.733
0.1,0.2,0.18,0.01219,0.744,0.736,0.756
0.1,0.25,0.08,0.01324,0.735,0.75,0.711
0.1,0.25,0.12,0.01282,0.744,0.75,0.733
0.1,0.25,0.15,0.01257,0.735,0.736,0.733
0.1,0.25,0.18,0.01236,0.735,0.736,0.733
0.1,0.3,0.08,0.01342,0.744,0.764,0.711
0.1,0.3,0.12,0.01326,0.752,0.764,0.733
0.1,0.3,0.15,0.01305,0.744,0.75,0.733
0.1,0.3,0.18,0.01303,0.744,0.736,0.756
0.1,0.35,0.08,0.01398,0.726,0.75,0.689
0.1,0.35,0.12,0.01384,0.726,0.736,0.711
0.1,0.35,0.15,0.01363,0.726,0.722,0.733
0.1,0.35,0.18,0.0135,0.692,0.681,0.711
0.15,0.2,0.08,0.01358,0.735,0.75,0.711
0.15,0.2,0.12,0.01311,0.744,0.75,0.733
0.15,0.2,0.15,0.01277,0.735,0.736,0.733
0.15,0.2,0.18,0.01248,0.744,0.736,0.756
0.15,0.25,0.08,0.01368,0.735,0.75,0.711
0.15,0.25,0.12,0.01318,0.744,0.75,0.733
0.15,0.25,0.15,0.01272,0.735,0.736,0.733
0.15,0.25,0.18,0.01267,0.735,0.736,0.733
0.15,0.3,0.08,0.01386,0.735,0.75,0.711
0.15,0.3,0.12,0.01365,0.752,0.764,0.733
0.15,0.3,0.15,0.01356,0.735,0.736,0.733
0.15,0.3,0.18,0.01333,0.735,0.722,0.756
0.15,0.35,0.08,0.01441,0.735,0.764,0.689
0.15,0.35,0.12,0.01406,0.709,0.722,0.689
0.15,0.35,0.15,0.01399,0.709,0.708,0.711
0.15,0.35,0.18,0.01373,0.701,0.694,0.711
