off_w,carry,btc,def,avg,pos,is_pos,oos_pos
0.0,0.0,0.2,0.12,0.00928,0.684,0.667,0.711
0.0,0.0,0.2,0.18,0.00924,0.692,0.653,0.756
0.0,0.0,0.2,0.24,0.00927,0.692,0.639,0.778
0.0,0.0,0.3,0.12,0.00994,0.684,0.681,0.689
0.0,0.0,0.3,0.18,0.0101,0.684,0.653,0.733
0.0,0.0,0.3,0.24,0.01038,0.641,0.597,0.711
0.0,0.0,0.4,0.12,0.01153,0.641,0.639,0.644
0.0,0.0,0.4,0.18,0.01181,0.641,0.625,0.667
0.0,0.0,0.4,0.24,0.01195,0.624,0.597,0.667
0.0,0.15,0.2,0.12,0.00792,0.667,0.653,0.689
0.0,0.15,0.2,0.18,0.00758,0.667,0.639,0.711
0.0,0.15,0.2,0.24,0.00747,0.667,0.639,0.711
0.0,0.15,0.3,0.12,0.00839,0.667,0.667,0.667
0.0,0.15,0.3,0.18,0.00829,0.667,0.667,0.667
0.0,0.15,0.3,0.24,0.00824,0.632,0.597,0.689
0.0,0.15,0.4,0.12,0.00965,0.65,0.639,0.667
0.0,0.15,0.4,0.18,0.00952,0.641,0.625,0.667
0.0,0.15,0.4,0.24,0.00926,0.607,0.597,0.622
0.15,0.0,0.2,0.12,0.01311,0.744,0.75,0.733
0.15,0.0,0.2,0.18,0.01248,0.744,0.736,0.756
0.15,0.0,0.2,0.24,0.01176,0.752,0.736,0.778
0.15,0.0,0.3,0.12,0.01365,0.752,0.764,0.733
0.15,0.0,0.3,0.18,0.01333,0.735,0.722,0.756
0.15,0.0,0.3,0.24,0.01286,0.744,0.736,0.756
0.15,0.0,0.4,0.12,0.0146,0.701,0.694,0.711
0.15,0.0,0.4,0.18,0.01433,0.675,0.653,0.711
0.15,0.0,0.4,0.24,0.01389,0.667,0.681,0.644
0.15,0.15,0.2,0.12,0.01148,0.735,0.75,0.711
0.15,0.15,0.2,0.18,0.01062,0.735,0.736,0.733
0.15,0.15,0.2,0.24,0.01014,0.744,0.736,0.756
0.15,0.15,0.3,0.12,0.01181,0.752,0.764,0.733
0.15,0.15,0.3,0.18,0.01131,0.726,0.722,0.733
0.15,0.15,0.3,0.24,0.01076,0.709,0.722,0.689
0.15,0.15,0.4,0.12,0.0126,0.692,0.694,0.689
0.15,0.15,0.4,0.18,0.01204,0.675,0.653,0.711
0.15,0.15,0.4,0.24,0.01124,0.684,0.681,0.689
0.25,0.0,0.2,0.12,0.01275,0.744,0.75,0.733
0.25,0.0,0.2,0.18,0.01216,0.752,0.75,0.756
0.25,0.0,0.2,0.24,0.01162,0.744,0.736,0.756
0.25,0.0,0.3,0.12,0.01358,0.744,0.75,0.733
0.25,0.0,0.3,0.18,0.01307,0.726,0.722,0.733
0.25,0.0,0.3,0.24,0.01286,0.718,0.694,0.756
0.25,0.0,0.4,0.12,0.01461,0.684,0.681,0.689
0.25,0.0,0.4,0.18,0.01421,0.692,0.681,0.711
0.25,0.0,0.4,0.24,0.01399,0.675,0.681,0.667
0.25,0.15,0.2,0.12,0.01134,0.726,0.736,0.711
0.25,0.15,0.2,0.18,0.01073,0.744,0.75,0.733
0.25,0.15,0.2,0.24,0.0103,0.744,0.736,0.756
0.25,0.15,0.3,0.12,0.01196,0.735,0.75,0.711
0.25,0.15,0.3,0.18,0.01149,0.726,0.722,0.733
0.25,0.15,0.3,0.24,0.01103,0.701,0.694,0.711
0.25,0.15,0.4,0.12,0.01276,0.692,0.694,0.689
0.25,0.15,0.4,0.18,0.0123,0.692,0.681,0.711
0.25,0.15,0.4,0.24,0.01151,0.658,0.681,0.622
